article,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,mean,std,std%,XYZ
PLAT 8.30E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,18.0,31.0,28.0,33.0,21.0,6.9523809523809526,11.663945260829161,167.76907566946053,Z
PLAT 7.60E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,23.0,20.0,53.0,72.0,67.0,65.0,15.238095238095237,25.581056979540076,167.87568642823175,Z
ECLAIR FRAISE PISTACHE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,4.0,0.0,0.0,1.0476190476190477,1.8296499795368097,174.64840713760455,Z
TARTE FINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,8.0,14.0,17.0,13.0,0.0,4.0,0.0,0.0,3.0952380952380953,5.41206764466929,174.85141621239245,Z
FRAMBOISIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,17.0,23.0,2.0,4.0,33.0,9.0,5.095238095238095,9.076919972682154,178.14515834236002,Z
BRIOCHETTE,0.0,6.0,3.0,20.0,15.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.095238095238095,8.01189591735166,195.63931891207542,Z
PALET BRETON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,39.0,13.0,86.0,80.0,19.0,12.619047619047619,25.774941688539652,204.25425489031423,Z
GD NANTAIS,0.0,0.0,0.0,0.0,0.0,0.0,13.0,47.0,9.0,7.0,16.0,9.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,5.190476190476191,10.73135148813535,206.7508084870113,Z
ST HONORE,0.0,0.0,0.0,0.0,0.0,0.0,26.0,43.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,5.238095238095238,11.01319554854431,210.25191501766412,Z
BROWNIES,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,10.0,2.0,1.0,0.0,0.0,0.0,2.142857142857143,4.574775560458832,213.4895261547455,Z
