ds,HW_A,HW_A-lo-90,HW_A-hi-90,HW_M,HW_M-lo-90,HW_M-hi-90
2022-07-08,2267.4981089775756,-762.9993921730293,5297.9956101281805,3267.001858251631,-9463.383843168147,15997.38755967141
2022-07-09,1747.0909974230678,-1283.7899023009447,4777.97189714708,2458.790527531653,-10271.595183671225,15189.176238734532
2022-07-10,2225.6160360561466,-805.6556795460074,5256.887751658301,3216.567035878719,-9513.818724660492,15946.95279641793
2022-07-11,2374.6371900825634,-657.0328278283241,5406.307207993451,3458.4092576384305,-9271.976509053464,16188.795024330324
2022-07-12,2353.6955462125234,-678.3803294721129,5385.77142189716,3433.390932955537,-9296.99485167091,16163.776717581984
2022-07-13,5310.624936233332,2278.1355783685985,8343.114294098064,8094.598145394278,-4635.78766954806,20824.983960336616
2022-07-14,1452.901742301332,-1580.0087909964304,4485.812275599094,2023.471906841811,-10706.913950318229,14753.85776400185
2022-07-15,1831.2575420777364,-1202.0819286561448,4864.597012811618,2629.0733490560688,-10101.312515418718,15359.459213530856
2022-07-16,1590.7588625562062,-1443.0173762689315,4624.535101381343,2253.141650921146,-10477.244223298014,14983.527525140304
2022-07-17,2019.0955688655922,-1015.1253372581846,5053.316474989369,2940.868165557977,-9789.517752478581,15671.254083594535
2022-07-18,1938.2592154930717,-1096.4143255874628,4972.932756573606,2818.895120262518,-9911.4908043435,15549.281044868536
2022-07-19,3067.9744122272114,32.84020018428828,6103.108624270135,4627.043987119498,-8103.341951042998,17357.42992528199
2022-07-20,5102.878953636246,2067.2759663827383,8138.481940889753,7880.4440727798155,-4849.941882355899,20610.83002791553
2022-07-21,2485.174937330047,-550.9049975181201,5521.254872178215,3715.2502245414144,-9015.135788608393,16445.636237691222
2022-07-22,2844.916149602148,-191.6489732522109,5881.481272456507,4299.6130143865175,-8430.77302497331,17029.999053746345
2022-07-23,2563.308206604032,-473.7504125853261,5600.36682579339,3857.433900190134,-8872.95215812204,16587.819958502307
2022-07-24,2712.761391008452,-324.7991006500474,5750.321882666951,4105.993915226751,-8624.392306549109,16836.380137002612
2022-07-25,2912.1848724548045,-125.88593549860025,5950.255680408209,4436.085271644041,-8294.301011423482,17166.471554711567
2022-07-26,2821.070846141197,-217.518789509008,5859.660481791401,4298.6898090084205,-8431.696503446008,17029.07612146285
2022-07-27,6806.542344907701,3767.4253026999513,9845.659387115451,10733.799898504543,-1996.5864449931942,23464.18624200228
2022-07-28,2809.153811530371,-230.4992834354416,5848.806906496184,4298.031152208238,-8432.355227236101,17028.417531652576
2022-07-29,2928.404944689518,-111.79291645376998,5968.602805832806,4500.755318404734,-8229.631075898633,17231.1417127081
2022-07-30,4631.1344124748275,1590.3830046384523,7671.885820311203,7276.010962478065,-5454.375452742508,20006.39737769864
2022-07-31,3717.9128784757954,676.599076459032,6759.226680492558,5805.160776069199,-6925.225690648811,18535.54724278721
2022-08-01,3035.745038239832,-6.1400722899670654,6077.630148769631,4704.716159949454,-8025.670313979686,17435.102633878596
2022-08-02,4507.690198476754,1465.224798384097,7550.15559856941,7118.7729458839285,-5611.613540555066,19849.159432322922
2022-08-03,6145.664872413086,3102.6101351205925,9188.71960970558,9803.706029711399,-2926.6805021995515,22534.092561622347
2022-08-04,4345.473142335073,1301.8199537504688,7389.1263309196775,6881.365172057809,-5849.021365089538,19611.751709205157
2022-08-05,3272.2280136813793,227.96719339081574,6316.488833971943,5133.161676104708,-7597.224868535772,17863.548220745186
2022-08-06,3722.0950120858265,677.2173134894579,6766.972710682196,5883.9181203742055,-6846.468480118429,18614.30472086684
2022-08-07,3691.3772504563603,645.8733609057931,6736.881140006928,5844.7779558214415,-6885.6086562699775,18575.16456791286
2022-08-08,4532.1405661208955,1486.0011070585056,7578.280025183285,7244.41828347421,-5485.968342821056,19974.804909769475
2022-08-09,4511.082106211062,1464.2976333111933,7557.866579110931,7224.018649084589,-5506.3680182336,19954.40531640278
2022-08-10,6813.273096829996,3765.8341001420417,9860.71209351795,11037.616288926076,-1692.770389880985,23768.002967733137
2022-08-11,4048.1623852711627,1000.059289364538,7096.2654811777875,6484.5203049502625,-6245.866417825088,19214.907027725614
2022-08-12,2504.2608629627807,-544.515972926215,5553.037698851776,3930.820213720006,-8799.566522704423,16661.206950144435
2022-08-13,3605.679480471727,556.2191986523089,6655.1397622911445,5773.026395907923,-6957.3603670708135,18503.41315888666
2022-08-14,2612.4155228854743,-437.73797584610384,5662.569021617052,4128.373746706523,-8602.01307033484,16858.760563747885
2022-08-15,2862.1227026977067,-188.73384880887897,5912.979254204292,4554.114214073165,-8176.272632395604,17284.501060541934
2022-08-16,3732.5604284747596,680.9909236036897,6784.12993334583,6021.1684760597045,-6709.218393374077,18751.555345493485
2022-08-17,6253.083947759626,3200.791524364368,9305.376371154885,10248.630730843342,-2481.75619702272,22979.017658709403
2022-08-18,4221.698988133229,1168.673616642167,7274.7243596242915,6866.639112185005,-5863.747846489825,19597.026070859836
2022-08-19,5104.475024717215,2050.706611307061,8158.243438127369,8362.038489792121,-4368.348492318863,21092.425471903105
2022-08-20,2907.4416855831023,-147.07992765894187,5961.963298825147,4677.94448635313,-8052.442554565227,17408.331527271486
2022-08-21,3697.961507308284,642.6764723961323,6753.246542220436,6022.384656041084,-6708.002432249514,18752.77174433168
2022-08-22,4087.545067402017,1031.486325222138,7143.603809581897,6693.560340506502,-6036.826757238531,19423.947438251536
2022-08-23,3946.178593035557,889.3357943988799,7003.021391672233,6467.3305613522825,-6263.056548770666,19197.71767147523
2022-08-24,6779.776594567942,3722.1393268638294,9837.413862272055,11273.324737682226,-1457.062391170295,24003.711866534744
2022-08-25,4335.293301391057,1276.8510887591206,7393.735514022994,7153.599131171493,-5576.788010378041,19883.986272721027
2022-08-26,3563.2406293148288,503.98293281868655,6622.498325810971,5852.004766994585,-6878.38239289772,18582.391926886892
2022-08-27,4493.879335210095,1433.795553013062,7553.963117407127,7451.277024856131,-5279.110169218263,20181.664218930524
2022-08-28,5146.178408666461,2085.25787620918,8207.098941123742,8576.578165767529,-4153.809042228946,21306.965373764004
2022-08-29,3199.2441424397603,137.47613261976812,6261.012152259753,5264.355912646894,-7466.031311958517,17994.743137252306
2022-08-30,4541.304108767446,1478.6778321206853,7603.930385414207,7574.857156107885,-5155.530112535039,20305.24442475081
2022-08-31,7669.6793137371415,4606.183918621401,10733.174708852883,12938.416914053363,208.02963057647503,25668.80419753025
2022-09-01,3406.926969018423,342.5515417987299,6471.302396238116,5652.79252465134,-7077.594790926848,18383.179840229528
2022-09-02,3385.9984562155887,320.73202145152663,6451.264890979651,5627.702982659819,-7102.684376491476,18358.090341811112
2022-09-03,3925.701384407288,859.5329050422588,6991.869863772317,6570.826528708278,-6159.560943577226,19301.21400099378
2022-09-04,4195.817912584621,1128.7362901370425,7262.899535032199,7049.399581484146,-5680.987899465322,19779.787062433614
2022-09-05,3152.4259160146203,84.41999077105584,6220.431841258185,5256.784147364644,-7473.603349017263,17987.17164374655
2022-09-06,5409.090828090861,2340.1493793010854,8478.032276880636,9175.499676261696,-3554.88783964864,21905.88719217203
2022-09-07,5961.300318058924,2891.4120641329205,9031.188571984927,10148.015852274482,-2582.3716704640483,22878.40337501301
2022-09-08,3219.741186752045,148.89478545892644,6290.587588045164,5404.923572665338,-7325.463972434322,18135.311117765
2022-09-09,3850.083876286234,778.2679249550974,6921.899827617371,6514.040930258657,-6216.346634143568,19244.428494660882
2022-09-10,2116.6353012028235,-956.1616630744761,5189.4322654801235,3498.516666825283,-9231.870911091253,16228.904244741818
2022-09-11,3717.42802752486,643.6385273607057,6791.217527689015,6307.645406946474,-6422.742196786869,19038.033010679817
2022-09-12,2945.5597760737364,-129.23384274389718,6020.35339489137,4966.615599270428,-7763.772053655732,17697.003252196588
