article,month,Quantity
COUPE,07,3877.0
COUPE,08,3962.0
COUPE,09,1950.0
COUPE,10,966.0
COUPE,11,734.0
COUPE,12,985.0
CROISSANT,01,1489.0
CROISSANT,02,1756.0
CROISSANT,03,1891.0
CROISSANT,04,2443.0
CROISSANT,05,3083.0
CROISSANT,06,2675.0
CROISSANT,07,4972.0
CROISSANT,08,5921.0
CROISSANT,09,2352.0
CROISSANT,10,1217.0
CROISSANT,11,894.0
CROISSANT,12,961.0
CROISSANT AMANDES,01,119.0
CROISSANT AMANDES,02,137.0
CROISSANT AMANDES,03,190.0
CROISSANT AMANDES,04,219.0
CROISSANT AMANDES,05,256.0
CROISSANT AMANDES,06,246.0
CROISSANT AMANDES,07,333.0
CROISSANT AMANDES,08,375.0
CROISSANT AMANDES,09,214.0
CROISSANT AMANDES,10,87.0
CROISSANT AMANDES,11,87.0
CROISSANT AMANDES,12,82.0
CRUMBLE,02,1.0
CRUMBLE,05,4.0
CRUMBLE,07,4.0
CRUMBLECARAMEL OU PISTAE,07,3.0
DELICETROPICAL,07,17.0
DELICETROPICAL,08,42.0
DELICETROPICAL,09,2.0
DEMI BAGUETTE,01,89.0
DEMI BAGUETTE,02,94.0
DEMI BAGUETTE,03,111.0
DEMI BAGUETTE,04,82.0
DEMI BAGUETTE,05,90.0
DEMI BAGUETTE,06,108.0
DEMI BAGUETTE,07,144.0
DEMI BAGUETTE,08,184.0
DEMI BAGUETTE,09,141.0
DEMI BAGUETTE,10,48.0
DEMI BAGUETTE,11,34.0
DEMI BAGUETTE,12,20.0
DEMI PAIN,01,10.0
DEMI PAIN,02,18.0
DEMI PAIN,03,19.0
DEMI PAIN,04,21.0
DEMI PAIN,05,19.0
DEMI PAIN,06,25.0
DEMI PAIN,07,18.0
DEMI PAIN,08,16.0
DEMI PAIN,09,10.0
DEMI PAIN,10,1.0
DEMI PAIN,11,4.0
DEMI PAIN,12,2.0
DIVERS BOISSONS,04,1.0
DIVERS BOISSONS,05,5.0
DIVERS BOISSONS,06,15.0
DIVERS BOISSONS,07,20.0
DIVERS BOISSONS,08,23.0
DIVERS BOISSONS,09,15.0
DIVERS BOISSONS,10,7.0
DIVERS BOULANGERIE,01,10.0
DIVERS BOULANGERIE,02,18.0
DIVERS BOULANGERIE,03,23.0
DIVERS BOULANGERIE,04,31.0
DIVERS BOULANGERIE,05,18.0
DIVERS BOULANGERIE,06,27.0
DIVERS BOULANGERIE,07,35.0
DIVERS BOULANGERIE,08,17.0
DIVERS BOULANGERIE,09,20.0
DIVERS BOULANGERIE,10,4.0
DIVERS BOULANGERIE,11,1.0
DIVERS BOULANGERIE,12,115.0
DIVERS CONFISERIE,01,27.0
DIVERS CONFISERIE,02,23.0
DIVERS CONFISERIE,03,30.0
DIVERS CONFISERIE,04,102.0
DIVERS CONFISERIE,05,38.0
DIVERS CONFISERIE,06,40.0
DIVERS CONFISERIE,07,93.0
DIVERS CONFISERIE,08,80.0
DIVERS CONFISERIE,09,27.0
DIVERS CONFISERIE,10,19.0
DIVERS CONFISERIE,11,11.0
DIVERS CONFISERIE,12,13.0
DIVERS PATISSERIE,01,68.0
DIVERS PATISSERIE,02,33.0
DIVERS PATISSERIE,03,30.0
DIVERS PATISSERIE,04,90.0
DIVERS PATISSERIE,05,40.0
DIVERS PATISSERIE,06,52.0
DIVERS PATISSERIE,07,56.0
DIVERS PATISSERIE,08,52.0
DIVERS PATISSERIE,09,17.0
DIVERS PATISSERIE,10,24.0
DIVERS PATISSERIE,11,31.0
DIVERS PATISSERIE,12,43.0
DIVERS SANDWICHS,01,35.0
DIVERS SANDWICHS,02,34.0
DIVERS SANDWICHS,03,48.0
DIVERS SANDWICHS,04,27.0
DIVERS SANDWICHS,05,29.0
DIVERS SANDWICHS,06,17.0
DIVERS SANDWICHS,07,25.0
DIVERS SANDWICHS,09,2.0
DIVERS SANDWICHS,10,2.0
DIVERS SANDWICHS,11,11.0
DIVERS SANDWICHS,12,3.0
DIVERS VIENNOISERIE,01,117.0
DIVERS VIENNOISERIE,02,220.0
DIVERS VIENNOISERIE,03,67.0
DIVERS VIENNOISERIE,04,97.0
DIVERS VIENNOISERIE,05,111.0
DIVERS VIENNOISERIE,06,25.0
DIVERS VIENNOISERIE,07,72.0
DIVERS VIENNOISERIE,08,44.0
DIVERS VIENNOISERIE,09,28.0
DIVERS VIENNOISERIE,10,6.0
DIVERS VIENNOISERIE,11,14.0
DIVERS VIENNOISERIE,12,31.0
DOUCEUR D HIVER,09,1.0
ECLAIR,01,143.0
ECLAIR,02,302.0
ECLAIR,03,316.0
ECLAIR,04,409.0
ECLAIR,05,429.0
ECLAIR,06,305.0
ECLAIR,07,519.0
ECLAIR,08,506.0
ECLAIR,09,287.0
ECLAIR,10,192.0
ECLAIR,11,142.0
ECLAIR,12,104.0
ECLAIR FRAISE PISTACHE,01,1.0
ECLAIR FRAISE PISTACHE,02,1.0
ECLAIR FRAISE PISTACHE,03,1.0
ECLAIR FRAISE PISTACHE,04,1.0
ECLAIR FRAISE PISTACHE,05,2.0
ECLAIR FRAISE PISTACHE,06,7.0
ECLAIR FRAISE PISTACHE,07,4.0
ECLAIR FRAISE PISTACHE,09,4.0
ECLAIR FRAISE PISTACHE,10,1.0
ENTREMETS,12,38.0
FICELLE,01,168.0
FICELLE,02,198.0
FICELLE,03,189.0
FICELLE,04,269.0
FICELLE,05,331.0
FICELLE,06,352.0
FICELLE,07,562.0
FICELLE,08,685.0
FICELLE,09,318.0
FICELLE,10,126.0
FICELLE,11,98.0
FICELLE,12,109.0
FINANCIER,01,1.0
FINANCIER,02,1.0
FINANCIER,03,1.0
FINANCIER,04,3.0
FINANCIER,05,3.0
FINANCIER,06,0.0
FINANCIER,07,2.0
FINANCIER,08,5.0
FINANCIER,09,1.0
FINANCIER,10,1.0
FINANCIER,11,2.0
FINANCIER X5,01,52.0
FINANCIER X5,02,83.0
FINANCIER X5,03,106.0
FINANCIER X5,04,121.0
FINANCIER X5,05,153.0
FINANCIER X5,06,118.0
FINANCIER X5,07,167.0
FINANCIER X5,08,232.0
FINANCIER X5,09,81.0
FINANCIER X5,10,52.0
FINANCIER X5,11,42.0
FINANCIER X5,12,56.0
FLAN,01,54.0
FLAN,02,77.0
FLAN,03,87.0
FLAN,04,76.0
FLAN,05,95.0
FLAN,06,128.0
FLAN,07,153.0
FLAN,08,151.0
FLAN,09,114.0
FLAN,10,58.0
FLAN,11,45.0
FLAN,12,39.0
FLAN ABRICOT,01,39.0
FLAN ABRICOT,02,60.0
FLAN ABRICOT,03,69.0
FLAN ABRICOT,04,51.0
FLAN ABRICOT,05,76.0
FLAN ABRICOT,06,83.0
FLAN ABRICOT,07,109.0
FLAN ABRICOT,08,107.0
FLAN ABRICOT,09,88.0
FLAN ABRICOT,10,43.0
FLAN ABRICOT,11,38.0
FLAN ABRICOT,12,28.0
FONDANT CHOCOLAT,01,21.0
FONDANT CHOCOLAT,02,24.0
FONDANT CHOCOLAT,03,40.0
FONDANT CHOCOLAT,04,55.0
FONDANT CHOCOLAT,05,41.0
FONDANT CHOCOLAT,06,39.0
FONDANT CHOCOLAT,07,53.0
FONDANT CHOCOLAT,08,45.0
FORMULE PATE,03,1.0
FORMULE PATE,07,1.0
FORMULE PLAT PREPARE,07,4.0
FORMULE PLAT PREPARE,11,7.0
FORMULE SANDWICH,01,270.0
FORMULE SANDWICH,02,307.0
FORMULE SANDWICH,03,531.0
FORMULE SANDWICH,04,524.0
FORMULE SANDWICH,05,575.0
FORMULE SANDWICH,06,713.0
FORMULE SANDWICH,07,621.0
FORMULE SANDWICH,08,620.0
FORMULE SANDWICH,09,456.0
FORMULE SANDWICH,10,251.0
FORMULE SANDWICH,11,187.0
FORMULE SANDWICH,12,126.0
FRAISIER,03,14.0
FRAISIER,04,146.0
FRAISIER,05,156.0
FRAISIER,06,88.0
FRAISIER,07,97.0
FRAISIER,08,88.0
FRAISIER,10,2.0
FRAISIER,12,2.0
FRAMBOISIER,03,8.0
FRAMBOISIER,04,17.0
FRAMBOISIER,05,23.0
FRAMBOISIER,06,2.0
FRAMBOISIER,07,4.0
FRAMBOISIER,08,33.0
FRAMBOISIER,09,9.0
FRAMBOISIER,12,11.0
GACHE,01,14.0
GACHE,02,20.0
GACHE,03,18.0
GACHE,04,17.0
GACHE,05,28.0
GACHE,06,10.0
GACHE,07,22.0
GAL FRANGIPANE 4P,01,195.0
GAL FRANGIPANE 4P,12,18.0
GAL FRANGIPANE 6P,01,116.0
GAL FRANGIPANE 6P,12,12.0
GAL POIRE CHOCO 4P,01,22.0
GAL POIRE CHOCO 4P,12,2.0
GAL POIRE CHOCO 6P,01,15.0
GAL POMME 4P,01,92.0
GAL POMME 4P,12,7.0
GAL POMME 6P,01,57.0
GAL POMME 6P,12,5.0
GALETTE 8 PERS,01,2.0
GD FAR BRETON,01,6.0
GD FAR BRETON,02,6.0
GD FAR BRETON,03,5.0
GD FAR BRETON,04,26.0
GD FAR BRETON,05,27.0
GD FAR BRETON,06,10.0
GD FAR BRETON,07,19.0
GD FAR BRETON,08,33.0
GD FAR BRETON,09,8.0
GD FAR BRETON,11,18.0
GD FAR BRETON,12,13.0
GD KOUIGN AMANN,01,21.0
GD KOUIGN AMANN,02,44.0
GD KOUIGN AMANN,03,40.0
GD KOUIGN AMANN,04,71.0
GD KOUIGN AMANN,05,125.0
GD KOUIGN AMANN,06,70.0
GD KOUIGN AMANN,07,227.0
GD KOUIGN AMANN,08,308.0
GD KOUIGN AMANN,09,50.0
GD KOUIGN AMANN,10,27.0
GD KOUIGN AMANN,11,19.0
GD KOUIGN AMANN,12,7.0
GD NANTAIS,04,2.0
GD NANTAIS,05,4.0
GD NANTAIS,07,15.0
GD NANTAIS,08,47.0
GD NANTAIS,09,9.0
GD NANTAIS,10,7.0
