article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std,XYZ
MILLES FEUILLES,20.0,55.0,95.0,95.0,93.0,95.0,143.0,203.0,125.0,68.0,37.0,23.0,87.66666666666667,50.603579144386835,Z
MOISSON,195.0,246.0,264.0,342.0,361.0,321.0,455.0,515.0,292.0,146.0,112.0,113.0,280.1666666666667,122.74148533491936,Z
NANTAIS,40.0,67.0,81.0,82.0,116.0,84.0,115.0,5.0,0.0,0.0,0.0,1.0,49.25,44.74953444823011,Z
NID DE POULE,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9166666666666665,9.673488971869915,X
NOIX JAPONAISE,9.0,52.0,50.0,47.0,71.0,17.0,64.0,55.0,25.0,20.0,22.0,15.0,37.25,20.469998371600653,Y
PAILLE,0.0,6.0,36.0,43.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.916666666666666,17.951129645667308,Y
PAIN,175.0,222.0,213.0,247.0,232.0,227.0,325.0,270.0,177.0,130.0,133.0,110.0,205.08333333333334,60.18922707225568,Z
PAIN AU CHOCOLAT,1227.0,1576.0,1781.0,2122.0,2660.0,2303.0,3988.0,4960.0,1903.0,1061.0,808.0,847.0,2103.0,1210.9017989360932,Z
PAIN AUX RAISINS,137.0,164.0,203.0,245.0,267.0,282.0,398.0,470.0,234.0,144.0,88.0,97.0,227.41666666666666,111.4453964454741,Z
PAIN BANETTE,167.0,203.0,221.0,254.0,296.0,284.0,474.0,543.0,263.0,128.0,102.0,86.0,251.75,133.25046904232644,Z
PAIN CHOCO AMANDES,94.0,112.0,168.0,167.0,185.0,153.0,252.0,300.0,195.0,108.0,99.0,72.0,158.75,65.11928157875617,Z
PAIN DE MIE,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,3.3333333333333335,7.608474807008885,X
PAIN GRAINES,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5951190357119042,X
PAIN NOIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.2763853991962833,X
PAIN S/SEL,12.0,11.0,3.0,2.0,5.0,21.0,19.0,17.0,18.0,12.0,8.0,12.0,11.666666666666666,6.032320356951286,X
PAIN SUISSE PEPITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,1.75,4.728019317501428,X
PALET BRETON,0.0,0.0,0.0,28.0,39.0,13.0,86.0,80.0,19.0,0.0,0.0,0.0,22.083333333333332,29.970703287636674,Z
PALMIER,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1902380714238083,X
PARIS BREST,51.0,89.0,123.0,119.0,148.0,93.0,162.0,177.0,113.0,71.0,79.0,49.0,106.16666666666667,39.93084299413453,Z
PATES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3726779962499649,X
PLAQUE TARTE 25P,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5527707983925666,X
