article,01,02,03,04,05,06,07,08,09,10,11,12,mean,std
GUERANDAIS,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2746513596937074,0.5791205799375827
KOUIGN AMANN,110.0,108.0,132.0,175.0,318.0,175.0,388.0,592.0,180.0,74.0,71.0,60.0,195.2679859038949,146.7209801551858
MACARON,0.0,0.0,0.0,0.0,0.0,0.0,109.0,196.0,142.0,0.0,0.0,0.0,39.37243401358203,64.82241045618451
MERINGUE,0.0,12.0,1.0,26.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.650038843496228,8.388501755750937
MILLES FEUILLES,20.0,55.0,95.0,95.0,93.0,95.0,143.0,203.0,125.0,68.0,37.0,23.0,85.01930327221812,49.61134370881241
MOISSON,195.0,246.0,264.0,342.0,361.0,321.0,455.0,515.0,292.0,146.0,112.0,113.0,268.9220108572561,125.1653332836781
NANTAIS,40.0,67.0,81.0,82.0,116.0,84.0,115.0,5.0,0.0,0.0,0.0,1.0,48.92853817487357,43.0106844895212
NID DE POULE,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3992968313240413,9.466786873477796
NOIX JAPONAISE,9.0,52.0,50.0,47.0,71.0,17.0,64.0,55.0,25.0,20.0,22.0,15.0,36.05142845511433,20.16883970579627
PAILLE,0.0,6.0,36.0,43.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.419128308023854,17.34845434734937
PAIN,175.0,222.0,213.0,247.0,232.0,227.0,325.0,270.0,177.0,130.0,133.0,110.0,194.73375431468494,69.53298106389177
PAIN AU CHOCOLAT,1227.0,1576.0,1781.0,2122.0,2660.0,2303.0,3988.0,4960.0,1903.0,1061.0,808.0,847.0,2039.2786999240068,1187.4355402821707
PAIN AUX RAISINS,137.0,164.0,203.0,245.0,267.0,282.0,398.0,470.0,234.0,144.0,88.0,97.0,219.13300450801006,111.44369566345088
PAIN BANETTE,167.0,203.0,221.0,254.0,296.0,284.0,474.0,543.0,263.0,128.0,102.0,86.0,243.2857477887376,131.85966256628097
PAIN CHOCO AMANDES,94.0,112.0,168.0,167.0,185.0,153.0,252.0,300.0,195.0,108.0,99.0,72.0,152.06209154133973,67.35602581296855
PAIN DE MIE,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,3.6387005814530156,7.398222776655051
PAIN GRAINES,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2746513596937074,0.5791205799375827
PAIN NOIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09712276660925832,0.27047962495650846
PAIN S/SEL,12.0,11.0,3.0,2.0,5.0,21.0,19.0,17.0,18.0,12.0,8.0,12.0,11.264213358829853,5.986982197550858
PAIN SUISSE PEPITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,1.9627156655358162,4.611329257243313
PALET BRETON,0.0,0.0,0.0,28.0,39.0,13.0,86.0,80.0,19.0,0.0,0.0,0.0,22.646716901497857,28.87152387905684
PALMIER,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5493027193874148,1.1582411598751654
PARIS BREST,51.0,89.0,123.0,119.0,148.0,93.0,162.0,177.0,113.0,71.0,79.0,49.0,101.43553640434295,42.229681753248045
PATES,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18138176163690226,0.3622412984109525
PLAQUE TARTE 25P,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.19424553321851665,0.540959249913017
PLAT,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.779549047879577,1.1234554217354735
PLAT 6.50E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAT 7.00,0.0,0.0,11.0,7.0,13.0,22.0,27.0,18.0,12.0,0.0,0.0,0.0,9.167748024801872,8.821594475764279
PLAT 7.60E,0.0,2.0,18.0,23.0,20.0,53.0,72.0,67.0,65.0,0.0,0.0,0.0,26.764312609524378,26.93638056288708
PLAT 8.30E,0.0,0.0,4.0,11.0,18.0,31.0,28.0,33.0,21.0,0.0,0.0,0.0,12.210412348414646,12.278852699162409
"PLATPREPARE5,50",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.29136829982777496,0.8114388748695253
"PLATPREPARE6,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09712276660925832,0.2704796249565085
"PLATPREPARE6,50",0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.7294478392320917,1.5033243219736008
